AccountAgeDays,TotalOrders,OrdersLast24h,OrdersLast7d,CancelledOrders,CancelRate,CurrentOrderValue,AvgOrderValue,IsCod,CodOrderCount,PhoneUsedCount,AddressUsedCount,ItemCount,TotalQuantity,StatusChangeCount,CancelledOrdersLast24h,CancelRateLast24h,CancelledOrdersLast7d,CancelRateLast7d,IsVip,CompletedOrderCount,CompletionRate,IsRisk
36,4,0,4,1,0.25,2590000,490000,1,0,1,1,9,13,1,0,0.0,1,0.25,0,3,0.75,True
37,7,0,5,0,0.0,660000,390000,1,1,1,2,3,4,0,0,0.0,0,0.0,0,7,1.0,True
39,9,1,8,0,0.0,1320000,410000,1,9,1,1,6,12,2,0,0.0,0,0.0,0,9,1.0,False
67,17,1,1,0,0.0,710000,260000,1,11,1,1,1,2,0,0,0.0,0,0.0,0,17,1.0,False
75,28,0,3,1,0.036,780000,430000,1,26,1,1,4,5,2,0,0.0,0,0.0,1,27,0.964,False
60,4,0,3,0,0.0,950000,330000,1,1,2,1,3,3,0,0,0.0,0,0.0,0,4,1.0,True
41,4,0,3,0,0.0,490000,550000,0,0,1,2,5,8,1,0,0.0,0,0.0,0,4,1.0,True
69,3,1,3,1,0.333,770000,500000,1,2,1,1,5,7,2,1,1.0,1,0.333,0,2,0.667,True
28,30,0,7,1,0.033,1130000,510000,1,22,1,1,2,5,1,0,0.0,1,0.143,0,29,0.967,False
37,11,0,11,2,0.182,1370000,420000,1,8,1,1,3,3,0,0,0.0,1,0.091,1,9,0.818,False
127,36,0,4,0,0.0,570000,330000,1,5,1,1,3,5,0,0,0.0,0,0.0,1,36,1.0,False
228,12,0,3,1,0.083,130000,420000,1,10,1,1,3,7,0,0,0.0,0,0.0,1,11,0.917,False
45,13,0,10,9,0.692,1430000,270000,1,6,1,1,4,4,6,0,0.0,7,0.7,0,4,0.308,True
9,21,0,6,4,0.19,740000,380000,1,18,1,1,3,4,0,0,0.0,2,0.333,1,17,0.81,False
7,2,1,2,1,0.5,1610000,870000,1,1,1,1,16,30,1,1,1.0,1,0.5,1,1,0.5,True
140,7,1,4,1,0.143,670000,420000,1,1,1,1,3,9,4,0,0.0,1,0.25,0,6,0.857,True
309,7,0,2,0,0.0,890000,580000,0,0,1,1,1,2,2,0,0.0,0,0.0,1,7,1.0,False
6,4,1,4,0,0.0,2070000,820000,1,2,1,1,18,31,2,0,0.0,0,0.0,1,4,1.0,True
426,6,1,3,0,0.0,190000,270000,1,5,1,1,5,5,0,0,0.0,0,0.0,1,6,1.0,False
107,20,1,5,2,0.1,850000,370000,1,4,1,1,1,2,2,0,0.0,0,0.0,1,18,0.9,False
308,30,0,1,1,0.033,550000,480000,1,0,1,1,5,6,1,0,0.0,0,0.0,1,29,0.967,False
331,22,0,1,0,0.0,130000,610000,1,8,1,1,5,7,1,0,0.0,0,0.0,1,22,1.0,False
68,26,0,4,0,0.0,610000,450000,0,8,1,1,2,2,2,0,0.0,0,0.0,0,26,1.0,False
5,2,2,2,1,0.5,1670000,360000,0,0,1,1,3,10,2,1,0.5,1,0.5,1,1,0.5,True
10,2,1,1,1,0.5,1570000,370000,1,1,1,1,4,8,2,0,0.0,1,1.0,1,1,0.5,True
285,13,0,4,0,0.0,800000,360000,1,2,1,1,5,5,2,0,0.0,0,0.0,0,13,1.0,False
53,7,0,2,2,0.286,1060000,360000,1,7,1,3,1,2,1,0,0.0,1,0.5,0,5,0.714,True
37,11,1,6,3,0.273,870000,440000,1,0,1,1,2,8,2,0,0.0,2,0.333,1,8,0.727,True
480,1,0,0,0,0.0,670000,580000,0,0,1,1,1,2,1,0,0.0,0,0.0,1,1,1.0,False
4,3,2,3,1,0.333,3110000,1280000,1,0,1,1,17,28,2,1,0.5,1,0.333,1,2,0.667,True
432,12,0,1,0,0.0,110000,620000,1,5,1,1,3,7,2,0,0.0,0,0.0,1,12,1.0,False
8,5,2,5,1,0.2,1130000,500000,0,0,1,1,3,10,0,1,0.5,1,0.2,1,4,0.8,True
53,10,0,5,2,0.2,1040000,340000,0,0,1,1,4,12,4,0,0.0,2,0.4,1,8,0.8,True
45,17,1,4,3,0.176,1040000,540000,1,12,1,1,6,6,5,0,0.0,2,0.5,0,14,0.824,True
2,5,1,5,0,0.0,590000,500000,1,1,1,6,3,3,2,0,0.0,0,0.0,0,5,1.0,True
7,2,1,1,0,0.0,1400000,550000,1,2,1,1,6,6,2,0,0.0,0,0.0,0,2,1.0,True
158,19,0,7,10,0.526,1700000,610000,1,16,1,1,5,7,3,0,0.0,6,0.857,0,9,0.474,True
7,3,2,3,0,0.0,3130000,1270000,1,3,1,1,11,19,0,0,0.0,0,0.0,0,3,1.0,True
64,11,0,3,0,0.0,950000,540000,1,7,1,1,6,6,5,0,0.0,0,0.0,0,11,1.0,True
497,40,0,5,4,0.1,710000,210000,1,38,1,1,3,3,0,0,0.0,0,0.0,1,36,0.9,False
59,2,1,2,0,0.0,1050000,250000,1,1,2,2,3,7,0,0,0.0,0,0.0,0,2,1.0,True
21,4,3,4,1,0.25,310000,430000,0,0,1,1,4,4,0,0,0.0,0,0.0,0,3,0.75,True
29,11,0,11,1,0.091,1320000,430000,1,11,1,1,6,10,2,0,0.0,1,0.091,1,10,0.909,False
35,7,0,1,0,0.0,460000,400000,1,1,1,1,5,8,1,0,0.0,0,0.0,1,7,1.0,False
33,20,1,11,1,0.05,1000000,300000,1,12,1,1,2,2,0,0,0.0,1,0.091,0,19,0.95,False
34,13,0,11,1,0.077,1370000,460000,1,13,1,1,5,5,1,0,0.0,0,0.0,0,12,0.923,False
457,33,0,3,4,0.121,880000,360000,1,31,1,1,5,5,0,0,0.0,0,0.0,0,29,0.879,False
156,14,0,2,0,0.0,170000,580000,0,4,1,1,3,5,2,0,0.0,0,0.0,1,14,1.0,False
75,3,1,3,1,0.333,710000,320000,1,2,1,1,6,10,3,0,0.0,1,0.333,1,2,0.667,True
351,35,0,0,1,0.029,600000,350000,1,19,1,1,2,3,0,0,0.0,0,0.0,0,34,0.971,False
45,28,1,10,3,0.107,540000,460000,1,17,1,1,3,6,1,0,0.0,0,0.0,0,25,0.893,False
3,1,1,1,1,1.0,3210000,1580000,1,1,1,1,10,24,0,1,1.0,1,1.0,1,0,0.0,True
11,20,2,10,17,0.85,940000,620000,0,6,1,1,4,9,4,1,0.5,5,0.5,1,3,0.15,True
151,25,1,4,0,0.0,390000,210000,1,4,1,1,3,4,2,0,0.0,0,0.0,1,25,1.0,False
86,25,0,6,0,0.0,200000,470000,1,23,1,1,1,3,2,0,0.0,0,0.0,1,25,1.0,False
46,8,0,5,1,0.125,480000,380000,0,0,2,1,4,6,0,0,0.0,1,0.2,0,7,0.875,True
2,7,1,4,0,0.0,1290000,500000,1,2,1,5,3,12,0,0,0.0,0,0.0,0,7,1.0,True
6,2,2,2,0,0.0,4540000,1110000,0,0,1,1,6,16,0,0,0.0,0,0.0,1,2,1.0,True
58,6,1,5,1,0.167,560000,360000,1,4,2,1,6,6,2,0,0.0,0,0.0,0,5,0.833,True
263,1,0,1,0,0.0,260000,280000,0,0,1,1,5,7,0,0,0.0,0,0.0,1,1,1.0,False
468,25,1,1,0,0.0,720000,270000,1,12,1,1,5,5,1,0,0.0,0,0.0,0,25,1.0,False
41,7,1,5,0,0.0,610000,610000,0,2,1,1,2,4,2,0,0.0,0,0.0,1,7,1.0,False
214,13,0,0,0,0.0,260000,510000,1,11,1,1,5,8,2,0,0.0,0,0.0,0,13,1.0,False
94,14,0,3,0,0.0,660000,270000,1,14,1,1,3,11,4,0,0.0,0,0.0,0,14,1.0,True
34,9,0,3,3,0.333,610000,530000,1,9,1,1,4,4,1,0,0.0,1,0.333,0,6,0.667,True
6,5,2,5,0,0.0,2000000,490000,0,1,1,1,3,11,0,0,0.0,0,0.0,1,5,1.0,True
403,9,1,1,0,0.0,410000,440000,1,2,1,1,5,9,2,0,0.0,0,0.0,1,9,1.0,False
410,35,0,2,1,0.029,780000,560000,1,23,1,1,2,2,0,0,0.0,0,0.0,0,34,0.971,False
31,6,0,3,0,0.0,790000,550000,1,1,1,2,3,3,0,0,0.0,0,0.0,0,6,1.0,True
45,40,0,1,4,0.1,380000,440000,0,0,1,1,2,2,1,0,0.0,0,0.0,0,36,0.9,False
4,4,1,2,1,0.25,1280000,730000,1,1,1,1,3,5,0,0,0.0,1,0.5,1,3,0.75,True
204,9,1,2,0,0.0,700000,220000,0,3,1,1,1,3,0,0,0.0,0,0.0,1,9,1.0,False
3,7,0,3,0,0.0,610000,480000,1,0,3,1,3,8,1,0,0.0,0,0.0,0,7,1.0,True
6,2,2,2,1,0.5,860000,770000,0,0,1,1,3,6,1,1,0.5,1,0.5,1,1,0.5,True
32,10,1,6,1,0.1,740000,350000,1,6,1,1,6,7,0,0,0.0,0,0.0,1,9,0.9,False
107,9,1,4,1,0.111,2350000,480000,0,2,1,1,5,9,1,1,1.0,1,0.25,0,8,0.889,True
40,24,0,10,1,0.042,320000,440000,1,23,1,1,6,6,0,0,0.0,0,0.0,1,23,0.958,False
39,1,1,1,0,0.0,550000,590000,1,0,1,4,2,7,1,0,0.0,0,0.0,0,1,1.0,True
45,25,0,10,1,0.04,1090000,320000,1,15,1,1,3,3,0,0,0.0,0,0.0,1,24,0.96,False
7,2,1,1,0,0.0,860000,540000,1,2,4,1,1,8,1,0,0.0,0,0.0,1,2,1.0,True
150,9,1,5,0,0.0,830000,500000,1,1,1,1,3,10,4,0,0.0,0,0.0,0,9,1.0,True
9,2,1,2,1,0.5,2010000,700000,1,0,1,1,5,5,0,0,0.0,1,0.5,1,1,0.5,True
26,29,0,6,4,0.138,680000,380000,1,22,1,1,4,7,2,0,0.0,2,0.333,0,25,0.862,False
7,6,5,6,2,0.333,880000,280000,1,4,1,1,5,8,3,2,0.4,2,0.333,1,4,0.667,True
48,11,1,4,0,0.0,1370000,410000,1,2,1,1,6,12,0,0,0.0,0,0.0,0,11,1.0,True
182,6,0,1,0,0.0,330000,380000,1,0,1,1,5,5,1,0,0.0,0,0.0,1,6,1.0,False
36,29,1,7,5,0.172,620000,320000,1,23,1,1,3,4,1,0,0.0,1,0.143,1,24,0.828,False
1,1,1,1,0,0.0,2340000,790000,0,0,1,1,9,25,1,0,0.0,0,0.0,0,1,1.0,True
5,1,1,1,1,1.0,3340000,1790000,1,0,1,1,12,28,0,1,1.0,1,1.0,1,0,0.0,True
10,6,0,5,0,0.0,2280000,440000,1,1,1,1,7,15,2,0,0.0,0,0.0,1,6,1.0,True
408,32,0,0,0,0.0,790000,440000,1,17,1,1,3,3,0,0,0.0,0,0.0,0,32,1.0,False
9,16,0,10,1,0.062,1020000,430000,1,13,1,1,4,5,2,0,0.0,0,0.0,1,15,0.938,False
457,27,0,4,0,0.0,280000,440000,0,9,1,1,5,7,0,0,0.0,0,0.0,0,27,1.0,False
446,40,1,1,1,0.025,560000,430000,1,34,1,1,5,9,1,0,0.0,0,0.0,1,39,0.975,False
45,27,0,5,2,0.074,1470000,280000,1,24,1,1,3,9,2,0,0.0,1,0.2,1,25,0.926,False
4,1,1,1,0,0.0,3330000,3330000,1,1,1,1,4,20,1,0,0.0,0,0.0,1,1,1.0,True
6,4,4,4,1,0.25,1180000,560000,0,1,1,1,6,11,1,0,0.0,1,0.25,1,3,0.75,True
43,20,1,5,1,0.05,620000,380000,1,15,1,1,5,6,0,0,0.0,0,0.0,1,19,0.95,False
124,20,1,2,1,0.05,680000,400000,0,2,1,1,6,6,5,1,1.0,1,0.5,0,19,0.95,True
24,12,1,6,4,0.333,1000000,440000,1,12,1,1,5,10,2,1,1.0,1,0.167,1,8,0.667,True
7,3,2,3,0,0.0,4050000,1180000,1,1,1,1,5,12,1,0,0.0,0,0.0,1,3,1.0,True
6,2,1,2,0,0.0,4580000,1020000,1,0,1,1,9,11,0,0,0.0,0,0.0,1,2,1.0,True
486,1,0,0,0,0.0,820000,370000,1,1,1,1,1,3,0,0,0.0,0,0.0,1,1,1.0,False
14,8,1,3,0,0.0,380000,420000,0,0,5,1,4,7,0,0,0.0,0,0.0,1,8,1.0,True
100,11,2,5,8,0.727,1490000,460000,1,6,1,1,8,14,3,0,0.0,3,0.6,0,3,0.273,True
8,3,2,3,1,0.333,1740000,360000,1,1,1,1,5,7,2,0,0.0,1,0.333,1,2,0.667,True
329,10,0,2,0,0.0,640000,460000,1,0,1,1,3,3,0,0,0.0,0,0.0,1,10,1.0,False
400,34,0,6,1,0.029,310000,210000,0,4,1,1,3,4,2,0,0.0,0,0.0,1,33,0.971,False
54,9,0,6,4,0.444,820000,410000,1,5,1,1,3,8,1,0,0.0,2,0.333,0,5,0.556,True
346,10,1,2,0,0.0,540000,470000,1,4,1,1,2,2,1,0,0.0,0,0.0,1,10,1.0,False
1,3,1,3,0,0.0,4710000,2330000,0,0,1,1,7,20,0,0,0.0,0,0.0,0,3,1.0,True
8,15,1,4,7,0.467,570000,410000,1,12,1,1,4,6,3,1,1.0,1,0.25,0,8,0.533,True
59,8,1,4,3,0.375,430000,590000,1,1,1,1,3,5,3,1,1.0,1,0.25,0,5,0.625,True
2,4,2,4,1,0.25,2850000,1540000,1,2,1,1,16,22,2,1,0.5,1,0.25,1,3,0.75,True
6,3,2,3,0,0.0,1640000,750000,1,3,1,1,8,11,0,0,0.0,0,0.0,0,3,1.0,True
76,15,0,3,1,0.067,540000,590000,1,12,1,1,3,7,5,0,0.0,1,0.333,0,14,0.933,False
21,8,3,5,3,0.375,730000,590000,1,3,1,1,7,7,2,0,0.0,0,0.0,0,5,0.625,True
19,3,0,3,0,0.0,370000,570000,1,3,1,3,6,9,2,0,0.0,0,0.0,1,3,1.0,True
10,5,2,5,0,0.0,1630000,690000,1,1,1,1,3,8,1,0,0.0,0,0.0,0,5,1.0,True
78,15,1,8,10,0.667,1420000,630000,1,2,1,1,4,5,4,1,1.0,6,0.75,1,5,0.333,True
39,15,1,9,2,0.133,600000,400000,1,13,1,1,4,7,1,0,0.0,1,0.111,1,13,0.867,False
12,5,1,3,0,0.0,900000,570000,1,5,1,4,5,8,2,0,0.0,0,0.0,0,5,1.0,True
5,3,2,3,0,0.0,3210000,890000,1,1,1,1,12,20,0,0,0.0,0,0.0,0,3,1.0,True
7,3,0,3,0,0.0,1170000,330000,1,0,1,4,4,4,1,0,0.0,0,0.0,1,3,1.0,True
284,28,0,0,0,0.0,700000,370000,1,13,1,1,2,3,1,0,0.0,0,0.0,0,28,1.0,False
14,10,0,8,1,0.1,1400000,490000,1,10,1,1,6,9,0,0,0.0,1,0.125,1,9,0.9,False
40,7,0,5,2,0.286,690000,410000,0,2,3,1,3,4,0,0,0.0,1,0.2,1,5,0.714,True
3,3,2,3,0,0.0,4700000,1320000,1,1,1,1,9,19,0,0,0.0,0,0.0,1,3,1.0,True
110,4,0,3,1,0.25,1570000,270000,1,3,1,1,9,9,0,0,0.0,0,0.0,0,3,0.75,True
281,28,1,1,1,0.036,260000,530000,1,4,1,1,2,2,1,0,0.0,0,0.0,1,27,0.964,False
25,8,5,7,2,0.25,340000,410000,1,1,1,1,4,12,1,1,0.2,1,0.143,1,6,0.75,True
10,5,0,2,0,0.0,690000,490000,0,1,1,2,5,8,1,0,0.0,0,0.0,0,5,1.0,True
380,34,1,4,2,0.059,430000,500000,0,11,1,1,4,6,0,1,1.0,1,0.25,0,32,0.941,False
10,3,2,2,0,0.0,1780000,540000,1,2,1,1,9,13,1,0,0.0,0,0.0,1,3,1.0,True
7,1,1,1,0,0.0,4560000,4560000,1,0,1,1,10,18,1,0,0.0,0,0.0,1,1,1.0,True
4,1,1,1,0,0.0,3250000,3250000,0,0,1,1,6,8,0,0,0.0,0,0.0,1,1,1.0,True
137,6,0,4,0,0.0,820000,350000,0,2,1,1,3,4,0,0,0.0,0,0.0,1,6,1.0,False
40,22,0,8,2,0.091,1300000,400000,1,22,1,1,2,2,2,0,0.0,1,0.125,1,20,0.909,False
15,10,0,4,2,0.2,490000,310000,1,6,1,1,4,7,0,0,0.0,1,0.25,1,8,0.8,False
158,3,0,0,0,0.0,200000,510000,1,0,1,1,4,6,2,0,0.0,0,0.0,0,3,1.0,False
16,8,1,5,2,0.25,1160000,360000,1,5,1,1,5,5,0,0,0.0,0,0.0,1,6,0.75,False
23,20,0,6,5,0.25,590000,510000,1,2,1,1,6,11,6,0,0.0,4,0.667,0,15,0.75,True
7,5,1,4,1,0.2,750000,650000,0,1,1,1,6,8,2,1,1.0,1,0.25,1,4,0.8,True
82,35,0,4,3,0.086,570000,520000,1,6,1,1,2,2,2,0,0.0,1,0.25,0,32,0.914,False
293,25,0,2,0,0.0,390000,480000,1,3,1,1,4,5,1,0,0.0,0,0.0,0,25,1.0,False
319,13,0,0,0,0.0,540000,400000,1,6,1,1,5,5,2,0,0.0,0,0.0,1,13,1.0,False
23,27,1,8,4,0.148,660000,390000,1,16,1,1,2,3,2,0,0.0,2,0.25,1,23,0.852,False
6,3,2,2,1,0.333,1320000,780000,1,3,1,1,4,5,0,1,0.5,1,0.5,1,2,0.667,True
25,18,0,10,1,0.056,630000,470000,1,13,1,1,6,8,0,0,0.0,1,0.1,1,17,0.944,False
5,2,2,2,0,0.0,3650000,1240000,1,0,1,1,8,15,0,0,0.0,0,0.0,1,2,1.0,True
7,1,1,1,0,0.0,4920000,4920000,1,1,1,1,8,14,0,0,0.0,0,0.0,1,1,1.0,True
8,4,1,3,1,0.25,1630000,350000,1,2,1,1,4,6,1,0,0.0,1,0.333,1,3,0.75,True
123,1,0,0,0,0.0,530000,440000,1,0,1,1,3,3,1,0,0.0,0,0.0,1,1,1.0,False
177,30,0,4,0,0.0,510000,210000,1,5,1,1,5,5,1,0,0.0,0,0.0,0,30,1.0,False
328,33,0,0,3,0.091,770000,560000,0,5,1,1,2,2,0,0,0.0,0,0.0,1,30,0.909,False
143,38,0,0,4,0.105,140000,480000,1,30,1,1,2,6,0,0,0.0,0,0.0,1,34,0.895,False
236,31,0,2,0,0.0,110000,180000,1,26,1,1,2,3,2,0,0.0,0,0.0,1,31,1.0,False
37,5,1,2,0,0.0,630000,310000,1,0,2,2,3,4,2,0,0.0,0,0.0,0,5,1.0,True
21,24,0,11,3,0.125,590000,370000,1,21,1,1,4,4,0,0,0.0,1,0.091,1,21,0.875,False
34,8,0,5,0,0.0,1500000,280000,1,6,1,1,2,8,0,0,0.0,0,0.0,0,8,1.0,False
61,6,0,3,0,0.0,630000,250000,0,0,1,1,4,4,2,0,0.0,0,0.0,1,6,1.0,False
70,8,1,5,0,0.0,970000,600000,1,1,1,1,3,8,5,0,0.0,0,0.0,0,8,1.0,True
13,24,1,12,3,0.125,450000,390000,1,21,1,1,6,6,2,0,0.0,3,0.25,1,21,0.875,False
2,3,2,3,0,0.0,4110000,1070000,1,2,1,1,6,14,1,0,0.0,0,0.0,0,3,1.0,True
70,4,0,3,1,0.25,820000,600000,1,3,1,1,3,9,1,0,0.0,1,0.333,0,3,0.75,True
185,9,0,1,0,0.0,410000,230000,1,9,1,1,4,8,1,0,0.0,0,0.0,1,9,1.0,False
8,6,1,3,0,0.0,1010000,270000,1,5,1,1,6,11,1,0,0.0,0,0.0,0,6,1.0,True
59,6,0,4,2,0.333,410000,300000,1,6,1,1,2,3,1,0,0.0,1,0.25,1,4,0.667,True
27,29,1,8,2,0.069,1210000,340000,1,23,1,1,5,7,2,0,0.0,0,0.0,1,27,0.931,False
31,23,0,7,1,0.043,1170000,460000,1,13,1,1,5,5,0,0,0.0,0,0.0,1,22,0.957,False
32,25,0,8,3,0.12,1110000,350000,1,22,1,1,6,9,2,0,0.0,1,0.125,1,22,0.88,False
40,20,1,8,1,0.05,640000,320000,1,13,1,1,6,8,1,0,0.0,1,0.125,1,19,0.95,False
99,12,1,4,0,0.0,2520000,460000,1,1,1,1,5,16,1,0,0.0,0,0.0,0,12,1.0,True
13,18,0,5,2,0.111,250000,280000,1,12,1,1,4,10,1,0,0.0,0,0.0,1,16,0.889,False
99,28,0,1,1,0.036,500000,550000,1,5,1,1,1,2,1,0,0.0,0,0.0,0,27,0.964,False
9,2,1,2,1,0.5,2190000,340000,0,0,1,1,6,7,1,0,0.0,1,0.5,1,1,0.5,True
9,20,1,7,2,0.1,1170000,380000,1,17,1,1,2,5,2,0,0.0,0,0.0,1,18,0.9,False
129,16,2,9,12,0.75,1640000,270000,0,1,1,1,6,10,2,1,0.5,7,0.778,1,4,0.25,True
256,5,0,2,0,0.0,520000,510000,1,0,1,1,1,4,1,0,0.0,0,0.0,1,5,1.0,False
410,7,1,3,0,0.0,330000,210000,1,2,1,1,1,2,2,0,0.0,0,0.0,1,7,1.0,False
18,4,0,3,1,0.25,450000,270000,1,0,1,6,2,4,2,0,0.0,1,0.333,0,3,0.75,True
39,8,0,3,2,0.25,820000,310000,0,2,2,1,2,3,2,0,0.0,2,0.667,0,6,0.75,True
440,9,1,3,0,0.0,100000,330000,1,4,1,1,5,7,2,0,0.0,0,0.0,1,9,1.0,False
2,1,1,1,0,0.0,4230000,4230000,0,0,1,1,6,9,1,0,0.0,0,0.0,1,1,1.0,True
178,13,0,10,11,0.846,1200000,410000,1,10,1,1,3,5,3,0,0.0,7,0.7,1,2,0.154,True
4,4,1,2,0,0.0,650000,290000,1,0,1,5,4,9,1,0,0.0,0,0.0,1,4,1.0,True
248,7,0,2,0,0.0,340000,640000,0,2,1,1,3,4,1,0,0.0,0,0.0,0,7,1.0,False
14,18,1,12,2,0.111,1000000,310000,1,10,1,1,5,7,0,0,0.0,0,0.0,1,16,0.889,False
427,15,1,1,0,0.0,270000,460000,0,4,1,1,1,1,1,0,0.0,0,0.0,1,15,1.0,False
4,3,1,3,0,0.0,1650000,600000,1,0,1,1,4,14,2,0,0.0,0,0.0,1,3,1.0,True
42,23,0,9,2,0.087,290000,280000,1,21,1,1,6,9,0,0,0.0,1,0.111,0,21,0.913,False
131,9,0,6,0,0.0,1030000,400000,1,9,1,1,3,3,5,0,0.0,0,0.0,0,9,1.0,True
28,4,1,4,0,0.0,1530000,430000,1,4,4,1,1,5,0,0,0.0,0,0.0,1,4,1.0,True
10,4,2,4,0,0.0,1380000,720000,1,2,1,1,8,9,0,0,0.0,0,0.0,0,4,1.0,True
25,23,0,7,1,0.043,670000,370000,1,15,1,1,6,6,1,0,0.0,0,0.0,1,22,0.957,False
227,25,1,1,2,0.08,120000,350000,1,1,1,1,5,5,1,0,0.0,0,0.0,1,23,0.92,False
24,4,4,4,1,0.25,410000,460000,1,3,1,1,7,7,3,1,0.25,1,0.25,0,3,0.75,True
